"state","freq"
"AK",1143
"AL",7376
"AR",5467
"AZ",9129
"CA",76403
"CO",8520
"CT",9166
"DE",2661
"FL",34129
"GA",16590
"HI",1508
"IA",8868
"ID",2745
"IL",33939
"IN",15490
"KS",7402
"KY",8771
"LA",7892
"MA",15144
"MD",17655
"ME",3885
"MI",31180
"MN",17025
"MO",14339
"MS",2927
"MT",1469
"NC",18407
"ND",1996
"NE",5135
"NH",5373
"NJ",24536
"NM",3224
"NV",3350
"NY",36751
"OH",32115
"OK",8730
"OR",8820
"PA",32873
"RI",2513
"SC",8806
"SD",2437
"TN",11930
"TX",42907
"UT",5606
"VA",23555
"VT",2319
"WA",13072
"WI",16452
"WV",3150
"WY",591
