"state","freq"
"AK",335748.12108629
"AL",2089860.32903555
"AR",1570623.43256434
"AZ",2844476.33598047
"CA",23693312.008784
"CO",2729251.75852781
"CT",2777298.94293632
"DE",768101.936636972
"FL",9901743.89128523
"GA",4786036.02547126
"HI",425961.22583096
"IA",2653008.16454949
"ID",846940.367273307
"IL",9801009.12574424
"IN",4588130.34787698
"KS",2195495.55300921
"KY",2605572.63936849
"LA",2117975.12973833
"MA",4502366.8870658
"MD",5289611.34271779
"ME",1160820.31898492
"MI",8854155.50063636
"MN",5278653.3969499
"MO",4254207.82552653
"MS",817905.343958992
"MT",476800.717035809
"NC",5542335.86575706
"ND",588755.376526692
"NE",1486325.59149318
"NH",1599441.54106945
"NJ",7170341.95009573
"NM",978104.022912769
"NV",1062869.16659564
"NY",10774829.4888993
"OH",9447090.32761039
"OK",2568612.85820906
"OR",2804327.11155321
"PA",9735134.78074798
"RI",752168.537179418
"SC",2532307.55843909
"SD",724283.985515423
"TN",3564274.63761009
"TX",11781178.4072085
"UT",1851227.51479712
"VA",7132834.52826294
"VT",691345.906404033
"WA",4084824.9975866
"WI",4884289.12566937
"WV",964384.428227831
"WY",172737.538632654
